iteration,device,local,remote,total
0,Device1,64,0,64
0,Device2,128,0,128
0,Device3,192,0,192
0,Device4,192,0,192
0,Device5,192,0,192
1,Device1,64,0,64
1,Device2,128,1,127
1,Device3,192,-1,193
1,Device4,192,0,192
1,Device5,192,0,192
2,Device1,64,0,64
2,Device2,128,2,126
2,Device3,192,-2,194
2,Device4,192,0,192
2,Device5,192,0,192
3,Device1,64,0,64
3,Device2,128,3,125
3,Device3,192,-3,195
3,Device4,192,0,192
3,Device5,192,0,192
4,Device1,64,0,64
4,Device2,128,4,124
4,Device3,192,-4,196
4,Device4,192,0,192
4,Device5,192,0,192
5,Device1,64,0,64
5,Device2,128,5,123
5,Device3,192,-5,197
5,Device4,192,0,192
5,Device5,192,0,192
6,Device1,64,0,64
6,Device2,128,6,122
6,Device3,192,-6,198
6,Device4,192,0,192
6,Device5,192,0,192
7,Device1,64,0,64
7,Device2,128,7,121
7,Device3,192,-7,199
7,Device4,192,0,192
7,Device5,192,0,192
8,Device1,64,0,64
8,Device2,128,8,120
8,Device3,192,-8,200
8,Device4,192,0,192
8,Device5,192,0,192
9,Device1,64,0,64
9,Device2,128,9,119
9,Device3,192,-9,201
9,Device4,192,0,192
9,Device5,192,0,192
10,Device1,64,0,64
10,Device2,128,10,118
10,Device3,192,-10,202
10,Device4,192,0,192
10,Device5,192,0,192
11,Device1,64,0,64
11,Device2,128,11,117
11,Device3,192,-11,203
11,Device4,192,0,192
11,Device5,192,0,192
12,Device1,64,0,64
12,Device2,128,12,116
12,Device3,192,-12,204
12,Device4,192,0,192
12,Device5,192,0,192
13,Device1,64,0,64
13,Device2,128,13,115
13,Device3,192,-13,205
13,Device4,192,0,192
13,Device5,192,0,192
14,Device1,64,0,64
14,Device2,128,14,114
14,Device3,192,-14,206
14,Device4,192,0,192
14,Device5,192,0,192
15,Device1,64,0,64
15,Device2,128,15,113
15,Device3,192,-15,207
15,Device4,192,0,192
15,Device5,192,0,192
16,Device1,64,0,64
16,Device2,128,16,112
16,Device3,192,-16,208
16,Device4,192,0,192
16,Device5,192,0,192
17,Device1,64,0,64
17,Device2,128,17,111
17,Device3,192,-17,209
17,Device4,192,0,192
17,Device5,192,0,192
18,Device1,64,0,64
18,Device2,128,18,110
18,Device3,192,-18,210
18,Device4,192,0,192
18,Device5,192,0,192
19,Device1,64,0,64
19,Device2,128,19,109
19,Device3,192,-19,211
19,Device4,192,0,192
19,Device5,192,0,192
20,Device1,64,0,64
20,Device2,128,20,108
20,Device3,192,-20,212
20,Device4,192,0,192
20,Device5,192,0,192
21,Device1,64,0,64
21,Device2,128,21,107
21,Device3,192,-21,213
21,Device4,192,0,192
21,Device5,192,0,192
22,Device1,64,0,64
22,Device2,128,22,106
22,Device3,192,-22,214
22,Device4,192,0,192
22,Device5,192,0,192
23,Device1,64,0,64
23,Device2,128,23,105
23,Device3,192,-23,215
23,Device4,192,0,192
23,Device5,192,0,192
24,Device1,64,0,64
24,Device2,128,24,104
24,Device3,192,-24,216
24,Device4,192,0,192
24,Device5,192,0,192
25,Device1,64,0,64
25,Device2,128,25,103
25,Device3,192,-25,217
25,Device4,192,0,192
25,Device5,192,0,192
26,Device1,64,0,64
26,Device2,128,26,102
26,Device3,192,-26,218
26,Device4,192,0,192
26,Device5,192,0,192
27,Device1,64,0,64
27,Device2,128,27,101
27,Device3,192,-27,219
27,Device4,192,0,192
27,Device5,192,0,192
28,Device1,64,0,64
28,Device2,128,28,100
28,Device3,192,-28,220
28,Device4,192,0,192
28,Device5,192,0,192
29,Device1,64,0,64
29,Device2,128,29,99
29,Device3,192,-29,221
29,Device4,192,0,192
29,Device5,192,0,192
30,Device1,64,0,64
30,Device2,128,30,98
30,Device3,192,-30,222
30,Device4,192,0,192
30,Device5,192,0,192
31,Device1,64,0,64
31,Device2,128,31,97
31,Device3,192,-31,223
31,Device4,192,0,192
31,Device5,192,0,192
32,Device1,64,0,64
32,Device2,128,32,96
32,Device3,192,-32,224
32,Device4,192,0,192
32,Device5,192,0,192
33,Device1,64,1,63
33,Device2,128,32,96
33,Device3,192,-33,225
33,Device4,192,0,192
33,Device5,192,0,192
34,Device1,64,1,63
34,Device2,128,33,95
34,Device3,192,-34,226
34,Device4,192,0,192
34,Device5,192,0,192
35,Device1,64,1,63
35,Device2,128,33,95
35,Device3,192,-35,227
35,Device4,192,1,191
35,Device5,192,0,192
36,Device1,64,1,63
36,Device2,128,33,95
36,Device3,192,-36,228
36,Device4,192,2,190
36,Device5,192,0,192
37,Device1,64,1,63
37,Device2,128,34,94
37,Device3,192,-37,229
37,Device4,192,2,190
37,Device5,192,0,192
38,Device1,64,1,63
38,Device2,128,34,94
38,Device3,192,-38,230
38,Device4,192,3,189
38,Device5,192,0,192
39,Device1,64,1,63
39,Device2,128,35,93
39,Device3,192,-39,231
39,Device4,192,3,189
39,Device5,192,0,192
40,Device1,64,2,62
40,Device2,128,35,93
40,Device3,192,-40,232
40,Device4,192,3,189
40,Device5,192,0,192
41,Device1,64,2,62
41,Device2,128,35,93
41,Device3,192,-41,233
41,Device4,192,4,188
41,Device5,192,0,192
42,Device1,64,2,62
42,Device2,128,36,92
42,Device3,192,-42,234
42,Device4,192,4,188
42,Device5,192,0,192
43,Device1,64,2,62
43,Device2,128,36,92
43,Device3,192,-43,235
43,Device4,192,5,187
43,Device5,192,0,192
44,Device1,64,2,62
44,Device2,128,37,91
44,Device3,192,-44,236
44,Device4,192,5,187
44,Device5,192,0,192
45,Device1,64,2,62
45,Device2,128,37,91
45,Device3,192,-45,237
45,Device4,192,6,186
45,Device5,192,0,192
46,Device1,64,3,61
46,Device2,128,37,91
46,Device3,192,-46,238
46,Device4,192,6,186
46,Device5,192,0,192
47,Device1,64,3,61
47,Device2,128,38,90
47,Device3,192,-47,239
47,Device4,192,6,186
47,Device5,192,0,192
48,Device1,64,3,61
48,Device2,128,38,90
48,Device3,192,-48,240
48,Device4,192,7,185
48,Device5,192,0,192
49,Device1,64,3,61
49,Device2,128,38,90
49,Device3,192,-49,241
49,Device4,192,8,184
49,Device5,192,0,192
50,Device1,64,3,61
50,Device2,128,39,89
50,Device3,192,-50,242
50,Device4,192,8,184
50,Device5,192,0,192
51,Device1,64,3,61
51,Device2,128,39,89
51,Device3,192,-51,243
51,Device4,192,9,183
51,Device5,192,0,192
52,Device1,64,3,61
52,Device2,128,40,88
52,Device3,192,-52,244
52,Device4,192,9,183
52,Device5,192,0,192
53,Device1,64,4,60
53,Device2,128,40,88
53,Device3,192,-53,245
53,Device4,192,9,183
53,Device5,192,0,192
54,Device1,64,4,60
54,Device2,128,40,88
54,Device3,192,-54,246
54,Device4,192,10,182
54,Device5,192,0,192
55,Device1,64,4,60
55,Device2,128,41,87
55,Device3,192,-55,247
55,Device4,192,10,182
55,Device5,192,0,192
56,Device1,64,4,60
56,Device2,128,41,87
56,Device3,192,-56,248
56,Device4,192,11,181
56,Device5,192,0,192
57,Device1,64,4,60
57,Device2,128,42,86
57,Device3,192,-57,249
57,Device4,192,11,181
57,Device5,192,0,192
58,Device1,64,4,60
58,Device2,128,42,86
58,Device3,192,-58,250
58,Device4,192,12,180
58,Device5,192,0,192
59,Device1,64,5,59
59,Device2,128,42,86
59,Device3,192,-59,251
59,Device4,192,12,180
59,Device5,192,0,192
60,Device1,64,5,59
60,Device2,128,43,85
60,Device3,192,-60,252
60,Device4,192,12,180
60,Device5,192,0,192
61,Device1,64,5,59
61,Device2,128,43,85
61,Device3,192,-61,253
61,Device4,192,13,179
61,Device5,192,0,192
62,Device1,64,5,59
62,Device2,128,43,85
62,Device3,192,-62,254
62,Device4,192,14,178
62,Device5,192,0,192
63,Device1,64,5,59
63,Device2,128,44,84
63,Device3,192,-63,255
63,Device4,192,14,178
63,Device5,192,0,192
64,Device1,64,5,59
64,Device2,128,44,84
64,Device3,192,-64,256
64,Device4,192,15,177
64,Device5,192,0,192
65,Device1,64,5,59
65,Device2,128,45,83
65,Device3,192,-65,257
65,Device4,192,15,177
65,Device5,192,0,192
66,Device1,64,6,58
66,Device2,128,45,83
66,Device3,192,-66,258
66,Device4,192,15,177
66,Device5,192,0,192
67,Device1,64,6,58
